tid,attribute,correct_val
0,oid,1
0,name,XUXOIWLXSVE
0,dept,DD94868
0,salary,1918
0,manager,CHRVFBIDIFM
1,oid,2
1,name,RRLUMSXMATE
1,dept,DD51487
1,salary,3860
1,manager,EETBNZSUKAM
2,oid,3
2,name,TMDXWSCUHSE
2,dept,DD31050
2,salary,2617
2,manager,NWNSALIYVAM
3,oid,4
3,name,HYHKEQTMHDE
3,dept,DD93665
3,salary,4153
3,manager,CAFIDTXJRRM
4,oid,5
4,name,VZXIEFGJBBE
4,dept,DD04207
4,salary,2905
4,manager,NBKLQFAQSIM
5,oid,6
5,name,GLROQUAXEJE
5,dept,DD44833
5,salary,4170
5,manager,EZXDGPVYDYM
6,oid,7
6,name,DLTKSZQQIWE
6,dept,DD59374
6,salary,1088
6,manager,WLJKAYLDYSM
7,oid,8
7,name,HBLTWVBCGME
7,dept,DD48733
7,salary,4399
7,manager,LRFSLITBANM
8,oid,9
8,name,LSIKJLLUSQE
8,dept,DD09539
8,salary,1055
8,manager,OQAUQVQHOIM
9,oid,10
9,name,NBHUTLZRUDE
9,dept,DD96710
9,salary,3126
9,manager,EFJCSADIGRM
10,oid,11
10,name,NAGAJFYOUQE
10,dept,DD84401
10,salary,2321
10,manager,KNMVCYLFZQM
11,oid,12
11,name,HPUYBEJHOUE
11,dept,DD16790
11,salary,2549
11,manager,KNMVCYLFZQM
12,oid,13
12,name,DQRBZULTAYE
12,dept,DD07244
12,salary,1259
12,manager,HWMMFBGBDUM
13,oid,14
13,name,EFPHYHSNKUE
13,dept,DD50328
13,salary,1186
13,manager,PJBYLUFOVOM
14,oid,15
14,name,TQKJTMMVBEE
14,dept,DD43051
14,salary,3334
14,manager,EQTDUOXQFCM
15,oid,16
15,name,ZEAJXTUDXSE
15,dept,DD56908
15,salary,1828
15,manager,NGRZZJGSPXM
16,oid,17
16,name,OWVKZCXZQLE
16,dept,DD70473
16,salary,1960
16,manager,BITZUPQCHSM
17,oid,18
17,name,OPWSPGSHCRE
17,dept,DD98300
17,salary,1229
17,manager,UVRYTEHQLGM
18,oid,19
18,name,RIISYISFUOE
18,dept,DD23688
18,salary,1623
18,manager,TJUSAKEVAOM
19,oid,20
19,name,DPQLTUETVWE
19,dept,DD97854
19,salary,2577
19,manager,QQWPYQNAOWM
20,oid,21
20,name,KMNPJKKHYAE
20,dept,DD45197
20,salary,3065
20,manager,IXTDMCXNNYM
21,oid,22
21,name,YIABJHAJZAE
21,dept,DD99475
21,salary,3521
21,manager,QHSKNTFYACM
22,oid,23
22,name,IATGMAONVHE
22,dept,DD14575
22,salary,3704
22,manager,BOKNGLJBJVM
23,oid,24
23,name,DLTKSZQQIWE
23,dept,DD59374
23,salary,1203
23,manager,WLJKAYLDYSM
24,oid,25
24,name,CTQJMPJBXTE
24,dept,DD95005
24,salary,3446
24,manager,YWDUWYCDGJM
25,oid,26
25,name,FFAUJXOKYFE
25,dept,DD34712
25,salary,4037
25,manager,ZKUTZKTSDEM
26,oid,27
26,name,LSIKJLLUSQE
26,dept,DD09539
26,salary,1632
26,manager,OQAUQVQHOIM
27,oid,28
27,name,AFVBMKVPVDE
27,dept,DD69952
27,salary,3729
27,manager,QLOCETVTZAM
28,oid,29
28,name,NMXVMJUHOYE
28,dept,DD97211
28,salary,3200
28,manager,JZIOKRMBYEM
29,oid,30
29,name,CXGJNAHMBBE
29,dept,DD04634
29,salary,3225
29,manager,FGJVUKOOHNM
30,oid,31
30,name,FTQMVLBGVFE
30,dept,DD30813
30,salary,1767
30,manager,OESKPZFXEEM
31,oid,32
31,name,NKCPAJRQTAE
31,dept,DD36585
31,salary,4424
31,manager,DJJAKFWJAAM
32,oid,33
32,name,GYYVJCBSQOE
32,dept,DD23839
32,salary,1031
32,manager,RYIUSLZCGYM
33,oid,34
33,name,NDUIGUUCFOE
33,dept,DD08955
33,salary,1440
33,manager,ZJTALSBYPAM
34,oid,35
34,name,IBFIIWGQYLE
34,dept,DD69909
34,salary,4218
34,manager,QQWPYQNAOWM
35,oid,36
35,name,QNHROKOEUFE
35,dept,DD54143
35,salary,2196
35,manager,GKGPEMMGAIM
36,oid,37
36,name,YVUQQQXBLDE
36,dept,DD23670
36,salary,4614
36,manager,ZJTALSBYPAM
37,oid,38
37,name,EPBCNTZFJYE
37,dept,DD88442
37,salary,4433
37,manager,HRHGHMPUGAM
38,oid,39
38,name,KTXIUXFWMJE
38,dept,DD67285
38,salary,3578
38,manager,EZXDGPVYDYM
39,oid,40
39,name,ZYMOIGWIIOE
39,dept,DD04084
39,salary,1265
39,manager,BFVORJBMSXM
40,oid,41
40,name,XUXOIWLXSVE
40,dept,DD94868
40,salary,3131
40,manager,CHRVFBIDIFM
41,oid,42
41,name,IKPECCDECKE
41,dept,DD19895
41,salary,3595
41,manager,MRRILYZHVIM
42,oid,43
42,name,FCTRRUCIRVE
42,dept,DD29944
42,salary,1388
42,manager,KNMVCYLFZQM
43,oid,44
43,name,QVRDMXAFVGE
43,dept,DD61445
43,salary,3985
43,manager,QHEOCNZBLGM
44,oid,45
44,name,VGWPXJJILKE
44,dept,DD78932
44,salary,4334
44,manager,IYHLXLNAHIM
45,oid,46
45,name,PNBSRBVSXVE
45,dept,DD88163
45,salary,3338
45,manager,FGJVUKOOHNM
46,oid,47
46,name,YTZGJXRETWE
46,dept,DD62717
46,salary,2215
46,manager,EIPHSLZBHZM
47,oid,48
47,name,KQDISKXQHGE
47,dept,DD45355
47,salary,1900
47,manager,BCOUHNPMOZM
48,oid,49
48,name,PUOFRVSYEQE
48,dept,DD54002
48,salary,1010
48,manager,IXTDMCXNNYM
49,oid,50
49,name,EABCDVDCPXE
49,dept,DD08704
49,salary,1545
49,manager,OGRZASKWKZM
50,oid,51
50,name,XIDFMXFRCVE
50,dept,DD02211
50,salary,1256
50,manager,VSSJSCOXPNM
51,oid,52
51,name,OPWSPGSHCRE
51,dept,DD98300
51,salary,2193
51,manager,UVRYTEHQLGM
52,oid,53
52,name,KYTUYQCCRLE
52,dept,DD66046
52,salary,3571
52,manager,VIHUEUGZHWM
53,oid,54
53,name,DQRBZULTAYE
53,dept,DD07244
53,salary,3206
53,manager,HWMMFBGBDUM
54,oid,55
54,name,RIZPXFHJQVE
54,dept,DD65302
54,salary,3003
54,manager,SZYKZZWOUEM
55,oid,56
55,name,QXNNICEAPEE
55,dept,DD17198
55,salary,2542
55,manager,JZIOKRMBYEM
56,oid,57
56,name,OBVMYVBMBOE
56,dept,DD92150
56,salary,1121
56,manager,TJUSAKEVAOM
57,oid,58
57,name,JGTLYPVTKEE
57,dept,DD72275
57,salary,4305
57,manager,JWKXQNUQKWM
58,oid,59
58,name,JJYTICCXXVE
58,dept,DD96946
58,salary,4805
58,manager,JIPXMAOBVUM
59,oid,60
59,name,VSCIBITGYDE
59,dept,DD86084
59,salary,3392
59,manager,SGNOVZYNHRM
60,oid,61
60,name,FRLLWMKLZUE
60,dept,DD36638
60,salary,1586
60,manager,EQOHYWLOQUM
61,oid,62
61,name,HHMOPUAHYLE
61,dept,DD28557
61,salary,3214
61,manager,JKTBQMRJIHM
62,oid,63
62,name,PYKSKWPHFWE
62,dept,DD08663
62,salary,4291
62,manager,QBNIIFFFDSM
63,oid,64
63,name,GQDEHWYHFVE
63,dept,DD56077
63,salary,2353
63,manager,JFYQTAPBDPM
64,oid,65
64,name,XGVWMPWSOAE
64,dept,DD99768
64,salary,2991
64,manager,PJBYLUFOVOM
65,oid,66
65,name,HCCNGKOPKJE
65,dept,DD04595
65,salary,3535
65,manager,BCOUHNPMOZM
66,oid,67
66,name,DXVACPJWLOE
66,dept,DD78019
66,salary,2730
66,manager,UXPXLTTPDOM
67,oid,68
67,name,XXYMINJGVOE
67,dept,DD02587
67,salary,2370
67,manager,TPBUKUKLWKM
68,oid,69
68,name,NMVEWMIZVZE
68,dept,DD17042
68,salary,1809
68,manager,CAQQRATKZEM
69,oid,70
69,name,DAIZCVNBEIE
69,dept,DD66955
69,salary,3838
69,manager,HXJLMPNWWHM
70,oid,71
70,name,GGPQFANAIYE
70,dept,DD18991
70,salary,1869
70,manager,SYAEZLOKJUM
71,oid,72
71,name,HOUZHEZDRUE
71,dept,DD63412
71,salary,4923
71,manager,LNMNVSIGHPM
72,oid,73
72,name,NNAFBYOUNOE
72,dept,DD03917
72,salary,1910
72,manager,ESIPBDQRGYM
73,oid,74
73,name,EZKOQMFSIOE
73,dept,DD53413
73,salary,3632
73,manager,BNRHULVDSJM
74,oid,75
74,name,IDKGLEMGPQE
74,dept,DD37196
74,salary,1834
74,manager,ZITKUHEZNLM
75,oid,76
75,name,NDUIGUUCFOE
75,dept,DD08955
75,salary,1267
75,manager,ZJTALSBYPAM
76,oid,77
76,name,FDARBBLTTJE
76,dept,DD73464
76,salary,2741
76,manager,GNMGJIRBNJM
77,oid,78
77,name,QFMXDUCJZEE
77,dept,DD86480
77,salary,2793
77,manager,WPMGBJWPTVM
78,oid,79
78,name,GLROQUAXEJE
78,dept,DD44833
78,salary,1393
78,manager,EZXDGPVYDYM
79,oid,80
79,name,XVGTJRTRHVE
79,dept,DD97933
79,salary,1968
79,manager,QQWPYQNAOWM
80,oid,81
80,name,WPSVUFHMQLE
80,dept,DD69995
80,salary,2883
80,manager,VAZGHWNRFPM
