tid,attribute,correct_val
0,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
0,Condition,Surgical Infection Prevention
1,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
1,Condition,Surgical Infection Prevention
2,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
2,Condition,Surgical Infection Prevention
3,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
3,Condition,Surgical Infection Prevention
4,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
4,Condition,Surgical Infection Prevention
5,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
5,Condition,Surgical Infection Prevention
6,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
6,Condition,Surgical Infection Prevention
7,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
7,Condition,Surgical Infection Prevention
8,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
8,Condition,Heart Attack
9,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
9,Condition,Heart Attack
10,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
10,Condition,Heart Attack
11,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
11,Condition,Heart Attack
12,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
12,Condition,Heart Attack
13,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
13,Condition,Heart Attack
14,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
14,Condition,Heart Attack
15,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
15,Condition,Heart Failure
16,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
16,Condition,Heart Failure
17,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
17,Condition,Heart Failure
18,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
18,Condition,Heart Failure
19,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
19,Condition,Heart Attack
20,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
20,Condition,Heart Attack
21,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
21,Condition,Heart Attack
22,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
22,Condition,Heart Attack
23,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
23,Condition,Heart Attack
24,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
24,Condition,Heart Attack
25,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
25,Condition,Heart Attack
26,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
26,Condition,Heart Failure
27,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
27,Condition,Heart Failure
28,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
28,Condition,Heart Failure
29,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
29,Condition,Heart Failure
30,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
30,Condition,Pneumonia
31,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
31,Condition,Pneumonia
32,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
32,Condition,Pneumonia
33,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
33,Condition,Pneumonia
34,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
34,Condition,Pneumonia
35,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
35,Condition,Pneumonia
36,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
36,Condition,Surgical Infection Prevention
37,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
37,Condition,Surgical Infection Prevention
38,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
38,Condition,Surgical Infection Prevention
39,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
39,Condition,Surgical Infection Prevention
40,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
40,Condition,Surgical Infection Prevention
41,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
41,Condition,Surgical Infection Prevention
42,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
42,Condition,Surgical Infection Prevention
43,HospitalName,SOUTHEAST ALABAMA MEDICAL CENTER
43,Condition,Surgical Infection Prevention
44,HospitalName,MARSHALL MEDICAL CENTER SOUTH
44,Condition,Heart Attack
